year,week,store,quantity,price,ppu,ppu_l,quantity_l
2017,29,760,16,84.78,5.29875,1.66747094368471,2.772588722239781
2017,29,3134,4,22.09,5.5225,1.7088306563121352,1.3862943611198906
2017,30,758,6,32.34,5.390000000000001,1.684545384920906,1.791759469228055
2017,30,3104,4,20.4,5.1,1.62924053973028,1.3862943611198906
2017,30,3150,9,49.97,5.552222222222222,1.7141982480198943,2.1972245773362196
2017,30,3134,5,22.69,4.538,1.51248638635765,1.6094379124341003
2017,30,3682,4,20.4,5.1,1.62924053973028,1.3862943611198906
2017,30,3148,5,26.37,5.274,1.662789087931095,1.6094379124341003
2017,30,760,14,78.21,5.586428571428571,1.7203401869982613,2.6390573296152584
2017,30,1386,9,50.25,5.583333333333333,1.7197859696029656,2.1972245773362196
2017,30,291,38,212.98,5.604736842105263,1.723612104860852,3.6375861597263857
2017,30,3476,6,28.86,4.81,1.5706970841176697,1.791759469228055
2017,30,770,13,74.13,5.702307692307692,1.7408709512070917,2.5649493574615367
2017,30,3614,8,44.28,5.535,1.7110915661606003,2.0794415416798357
2017,31,3149,6,32.24,5.373333333333334,1.6814484484103727,1.791759469228055
2017,31,3919,6,30.45,5.075,1.6243265249278511,1.791759469228055
2017,31,793,9,50.26,5.584444444444444,1.7199849547792267,2.1972245773362196
2017,31,1399,11,62.09,5.6445454545454545,1.7306896725784309,2.3978952727983707
2017,31,3496,3,14.93,4.976666666666667,1.6047603228829892,1.0986122886681098
2017,32,744,15,85.46,5.697333333333333,1.7399982291136689,2.70805020110221
2017,32,3493,9,49.64,5.515555555555555,1.707572383000187,2.1972245773362196
2017,32,3622,4,15.7,3.925,1.3673663512343717,1.3862943611198906
2017,32,263,6,34.03,5.671666666666667,1.7354830192847595,1.791759469228055
2017,32,1306,12,63.46,5.288333333333333,1.6655031363670492,2.4849066497880004
2017,32,1341,18,103.37,5.742777777777778,1.7479430266842289,2.8903717578961645
2017,32,3933,10,55.61,5.561,1.715777948205427,2.302585092994046
