year,week,country,brand,channel,quantity,ppu,ppu_l,quantity_l
2019,42,Panama,1,shop,260,15.15,2.7180005319553784,5.560681631015528
2019,25,Ethiopia,1,wholesale,655,13.02,2.5664866367804233,6.484635235635252
2019,45,Papua New Guinea,1,retail,840,13.02,2.5664866367804233,6.733401891837359
2019,34,Guatamala,4,shop,482,13.1,2.5726122302071057,6.1779441140506
2019,2,Guatamala,2,wholesale,488,12.75,2.545531271604435,6.1903154058531475
2019,5,Kenya,1,wholesale,550,15.15,2.7180005319553784,6.309918278226516
2019,17,Ethiopia,2,wholesale,640,14.2,2.653241964607215,6.461468176353717
2019,28,Ethiopia,5,retail,655,13.02,2.5664866367804233,6.484635235635252
2019,14,Guatamala,3,wholesale,494,12.5,2.5257286443082556,6.202535517187923
2019,46,Guatamala,1,wholesale,494,12.5,2.5257286443082556,6.202535517187923
2019,32,Guatamala,4,wholesale,494,12.5,2.5257286443082556,6.202535517187923
2019,50,Panama,1,wholesale,260,15.24,2.7239235502585,5.560681631015528
2019,27,Guatamala,2,shop,476,14.2,2.653241964607215,6.16541785423142
2019,50,Kenya,3,retail,550,15.15,2.7180005319553784,6.309918278226516
2019,44,Panama,2,retail,292,12.5,2.5257286443082556,5.676753802268282
2019,32,Kenya,3,wholesale,590,12.5,2.5257286443082556,6.380122536899765
2019,39,Ethiopia,2,shop,625,15.15,2.7180005319553784,6.437751649736401
2019,19,Panama,2,retail,274,12.5,2.5257286443082556,5.6131281063880705
2019,48,Panama,3,wholesale,284,12.75,2.545531271604435,5.648974238161206
2019,14,Guatamala,4,wholesale,514,12.5,2.5257286443082556,6.2422232654551655
2019,50,Kenya,3,retail,550,15.18,2.719978771967484,6.309918278226516
2019,32,Kenya,2,retail,580,12.74,2.5447466501440172,6.363028103540465
2019,13,Ethiopia,1,retail,685,12.5,2.5257286443082556,6.529418838262226
2019,26,Guatamala,1,wholesale,477,12.75,2.545531271604435,6.1675164908883415
2019,8,Kenya,1,wholesale,550,15.15,2.7180005319553784,6.309918278226516
2019,48,Guatamala,4,wholesale,482,13.02,2.5664866367804233,6.1779441140506
2019,52,Kenya,2,shop,560,14.2,2.653241964607215,6.327936783729195
2019,36,Guatamala,3,shop,494,12.5,2.5257286443082556,6.202535517187923
2019,11,Kenya,4,shop,560,14.2,2.653241964607215,6.327936783729195
2019,2,Panama,3,retail,216,12.75,2.545531271604435,5.375278407684165
2019,17,Papua New Guinea,1,retail,800,15.26,2.725235025856311,6.684611727667927
2019,21,Kenya,2,wholesale,590,12.5,2.5257286443082556,6.380122536899765
2019,7,Guatamala,4,wholesale,488,12.74,2.5447466501440172,6.1903154058531475
2019,49,Guatamala,3,wholesale,476,14.2,2.653241964607215,6.16541785423142
2019,5,Papua New Guinea,1,shop,880,12.5,2.5257286443082556,6.779921907472252
2019,18,Guatamala,1,wholesale,483,15.15,2.7180005319553784,6.180016653652572
2019,48,Panama,2,retail,284,12.75,2.545531271604435,5.648974238161206
2019,30,Papua New Guinea,1,retail,860,12.75,2.545531271604435,6.756932389247553
2019,18,Kenya,2,wholesale,580,12.75,2.545531271604435,6.363028103540465
2019,4,Papua New Guinea,1,wholesale,880,12.5,2.5257286443082556,6.779921907472252
2019,26,Ethiopia,1,shop,670,12.75,2.545531271604435,6.507277712385012
2019,43,Papua New Guinea,1,wholesale,880,12.44,2.5209170873110334,6.779921907472252
2019,41,Kenya,4,wholesale,590,12.5,2.5257286443082556,6.380122536899765
2019,45,Guatamala,1,wholesale,494,12.5,2.5257286443082556,6.202535517187923
2019,16,Papua New Guinea,1,shop,820,14.2,2.653241964607215,6.709304340258298
2019,25,Ethiopia,2,shop,679,12.75,2.545531271604435,6.520621127558696
2019,2,Papua New Guinea,1,retail,860,12.75,2.545531271604435,6.756932389247553
2019,38,Papua New Guinea,1,wholesale,880,12.5,2.5257286443082556,6.779921907472252
2019,34,Ethiopia,4,wholesale,685,12.5,2.5257286443082556,6.529418838262226
2019,39,Kenya,3,retail,590,12.5,2.5257286443082556,6.380122536899765
2019,39,Kenya,2,wholesale,570,13.02,2.5664866367804233,6.345636360828596
2019,28,Ethiopia,1,retail,670,12.75,2.545531271604435,6.507277712385012
2019,10,Panama,3,shop,292,12.5,2.5257286443082556,5.676753802268282
2019,48,Panama,1,shop,292,12.5,2.5257286443082556,5.676753802268282
2019,30,Panama,3,wholesale,284,12.75,2.545531271604435,5.648974238161206
2019,21,Guatamala,1,retail,470,15.15,2.7180005319553784,6.152732694704104
2019,44,Papua New Guinea,1,wholesale,810,12.75,2.545531271604435,6.697034247666484
2019,4,Kenya,4,wholesale,580,12.76,2.546315277916644,6.363028103540465
2019,50,Ethiopia,4,shop,655,13.07,2.570319527636131,6.484635235635252
2019,47,Ethiopia,5,retail,625,15.15,2.7180005319553784,6.437751649736401
2019,33,Kenya,3,retail,560,14.2,2.653241964607215,6.327936783729195
2019,24,Ethiopia,4,retail,655,13.02,2.5664866367804233,6.484635235635252
2019,22,Kenya,4,wholesale,576,12.75,2.545531271604435,6.3561076606958915
2019,22,Papua New Guinea,1,shop,840,13.02,2.5664866367804233,6.733401891837359
2019,51,Kenya,1,shop,560,14.2,2.653241964607215,6.327936783729195
2019,43,Ethiopia,3,wholesale,655,13.02,2.5664866367804233,6.484635235635252
2019,37,Papua New Guinea,1,shop,816,13.02,2.5664866367804233,6.704414354964107
2019,48,Kenya,2,shop,570,13.07,2.570319527636131,6.345636360828596
2019,18,Ethiopia,1,retail,670,12.75,2.545531271604435,6.507277712385012
2019,35,Panama,2,retail,292,12.5,2.5257286443082556,5.676753802268282
2019,25,Panama,3,shop,268,15.15,2.7180005319553784,5.5909869805108565
2019,42,Panama,2,wholesale,276,12.91,2.558002204858551,5.62040086571715
2019,45,Panama,1,wholesale,276,13.15,2.5764217586237734,5.62040086571715
2019,22,Ethiopia,1,retail,655,13.02,2.5664866367804233,6.484635235635252
2019,51,Kenya,4,wholesale,570,13.02,2.5664866367804233,6.345636360828596
2019,36,Papua New Guinea,1,shop,837,13.02,2.5664866367804233,6.729824070489475
